title,authors,doi,venue,source,year,is_top_venue
Aggregate Confusion: The Divergence of ESG Ratings,"['Florian Berg', 'Julian F Kölbel', 'Roberto Rigobón']",https://doi.org/10.1093/rof/rfac033,European Finance Review,OpenAlex,2022,False
"Standards of Care for the Health of Transgender and Gender Diverse People, Version 8","['Eli Coleman', 'Asa Radix', 'Walter Pierre Bouman', 'George R. Brown', 'A. de Vries', 'Madeline B. Deutsch', 'Randi Ettner', 'Lin Fraser', 'Michael Goodman', 'J. Green', 'Adrienne B. Hancock', 'Thomas W. Johnson', 'Dan H. Karasic', 'Gail Knudson', 'Scott Leibowitz', 'Heino F. L. Meyer‐Bahlburg', 'S. Monstrey', 'Joz Motmans', 'Leena Nahata', 'Timo O. Nieder', 'Sari L. Reisner', 'Christina Richards', 'Loren S. Schechter', 'Vin Tangpricha', 'Amy C. Tishelman', 'M.A.A. van Trotsenburg', 'Sam Winter', 'Kelly Ducheny', 'Noah S. Adams', 'T. M. Adrián', 'Luke R. Allen', 'David Azul', 'Harjit Bagga', 'Koray Başar', 'D. S. Bathory', 'Javier Belinky', 'Dianne Berg', 'Jens U. Berli', 'Rachel Bluebond‐Langner', 'Mark‐Bram Bouman', 'Marci Bowers', 'P. Brassard', 'Jack Byrne', 'Luis Pérez Capitán', 'C. J. Cargill', 'Jeremi M. Carswell', 'Sand C. Chang', 'Gayathri Chelvakumar', 'Trevor Corneil', 'Katharine B. Dalke', 'Griet De Cuypere', 'Elma De Vries', 'Martin den Heijer', 'Aaron Devor', 'Cecilia Dhejne', 'A. D’Marco', 'E. Kale Edmiston', 'Laura Edwards-Leeper', 'Randall D. Ehrbar', 'Diane Ehrensaft', 'Justus Eisfeld', 'Els Elaut', 'Laura Erickson‐Schroth', 'Jamie Feldman', 'Alessandra D. Fisher', 'Maurice M. Garcia', 'Luk Gijs', 'S. E. Green', 'B. P. Hall', 'Teresa L. D. Hardy', 'Michael S. Irwig', 'Laura A. Jacobs', 'Aron Janssen', 'Katherine Johnson', 'Daniel Klink', 'Baudewijntje P.C. Kreukels', 'Laura E. Kuper', 'Elizabeth Kvach', 'Matthew A. Malouf', 'Ren Massey', 'Tom Mazur', 'Chris tine McLachlan', 'Shane D. Morrison', 'Scott W. Mosser', 'Paula M. Neira', 'Ulrika Nygren', 'Jennifer Oates', 'Juno Obedin‐Maliver', 'Georgios Pagkalos', 'J. Patton', 'Nittaya Phanuphak', 'Katherine Rachlin', 'T. Reed', 'G. Nic Rider', 'Jiska Ristori', 'Sally Robbins-Cherry', 'Stephanie Roberts', 'Kenny A. Rodriguez‐Wallberg', 'Stephen M. Rosenthal', 'K. Sabir']",https://doi.org/10.1080/26895269.2022.2100644,International Journal of Transgender Health,OpenAlex,2022,False
Recent advances and applications of deep learning methods in materials science,"['Kamal Choudhary', 'Brian DeCost', 'Chi Chen', 'Anubhav Jain', 'Francesca Tavazza', 'Ryan Cohn', 'Cheol Woo Park', 'Alok Choudhary', 'Ankit Agrawal', 'Simon J. L. Billinge', 'Elizabeth A. Holm', 'Shyue Ping Ong', 'Chris Wolverton']",https://doi.org/10.1038/s41524-022-00734-6,npj Computational Materials,OpenAlex,2022,False
Rare coding variation provides insight into the genetic architecture and phenotypic context of autism,"['Jack Fu', 'F. Kyle Satterstrom', 'Minshi Peng', 'Harrison Brand', 'Ryan L. Collins', 'Shan Dong', 'Brie Wamsley', 'Lambertus Klei', 'Lily Wang', 'Stephanie P. Hao', 'Christine Stevens', 'Caroline Cusick', 'Mehrtash Babadi', 'Eric Banks', 'Brett Collins', 'Sheila Dodge', 'Stacey B. Gabriel', 'Laura D. Gauthier', 'Samuel K. Lee', 'Lindsay Liang', 'Alicia Ljungdahl', 'Behrang Mahjani', 'Laura Sloofman', 'Andrey N. Smirnov', 'Mafalda Barbosa', 'Catalina Betancur', 'Alfredo Brusco', 'Brian Hon‐Yin Chung', 'Edwin H. Cook', 'Michael L. Cuccaro', 'Enrico Domenici', 'Giovanni Battista Ferrero', 'J. Jay Gargus', 'Gail E. Herman', 'Irva Hertz‐Picciotto', 'Patrı́cia Maciel', 'Dara S. Manoach', 'Maria Rita Passos‐Bueno', 'Antonio M. Persico', 'Alessandra Renieri', 'James S. Sutcliffe', 'Flora Tassone', 'Elisabetta Trabetti', 'Gabriele da Silva Campos', 'Simona Cardaropoli', 'Diana Carli', 'Marcus C.Y. Chan', 'Chiara Fallerini', 'Elisa Giorgio', 'Ana Cristina De Sanctis Girardi', 'Emily Hansen‐Kiss', 'So Lun Lee', 'Carla Lintas', 'Yunin Ludeña', 'Rachel Nguyen', 'Lisa Pavinato', 'Margaret A. Pericak‐Vance', 'Isaac N. Pessah', 'Rebecca J. Schmidt', 'Moyra Smith', 'Claudia Ismania Samogy Costa', 'Slavica Trajkova', 'Jaqueline Y. T. Wang', 'Mullin H.C. Yu', 'Branko Aleksić', 'Mykyta Artomov', 'Elisa Benetti', 'Monica Biscaldi-Schafer', 'Anders D. Børglum', 'Ã\x81ngel Carracedo', 'Andreas G. Chiocchetti', 'Hilary Coon', 'Ryan N. Doan', 'Montse Fernández‐Prieto', 'Christine M. Freitag', 'Sherif Gerges', 'Stephen J. Guter', 'David M. Hougaard', 'Christina M. Hultman', 'Suma Jacob', 'Miia Kaartinen', 'A\ufefflexander Kolevzon', 'Itaru Kushima', 'Terho Lehtimäki', 'Caterina Lo Rizzo', 'Nell Maltman', 'Marianna Manara', 'Gal Meiri', 'Idan Menashe', 'Judith Miller', 'Nancy J. Minshew', 'Matthew W. Mosconi', 'Norio Ozaki', 'Aarno Palotie', 'Mara Parellada', 'Kaija Puura', 'Abraham Reichenberg', 'Sven Sandin', 'Stephen W. Scherer', 'Sabine Schlitt']",https://doi.org/10.1038/s41588-022-01104-0,Nature Genetics,OpenAlex,2022,False
Social physics,"['Marko Jusup', 'Petter Holme', 'Kiyoshi Kanazawa', 'Misako Takayasu', 'Ivan Romić', 'Zhen Wang', 'Sunčana Geček', 'Tomislav Lipić', 'Boris Podobnik', 'Lin Wang', 'Wei Luo', 'Tin Klanjšček', 'Jingfang Fan', 'Stefano Boccaletti', 'Matjaž Perc']",https://doi.org/10.1016/j.physrep.2021.10.005,Physics Reports,OpenAlex,2022,False
"Ego4D: Around the World in 3,000 Hours of Egocentric Video","['Kristen Grauman', 'Andrew Westbury', 'Eugene H. Byrne', 'Zachary Chavis', 'Antonino Furnari', 'Rohit Girdhar', 'Jackson Hamburger', 'Hao Jiang', 'Miao Liu', 'Xingyu Liu', 'Miguel Martin', 'Tushar Nagarajan', 'Ilija Radosavovic', 'Santhosh Kumar Ramakrishnan', 'Fiona Ryan', 'Jayant Sharma', 'Michael Wray', 'Mengmeng Xu', 'Zhongcong Xu', 'Chen Zhao', 'Siddhant Bansal', 'Dhruv Batra', 'Vincent Cartillier', 'Sean Crane', 'Tien Do', 'Morrie Doulaty', 'Akshay Erapalli', 'Christoph Feichtenhofer', 'Adriano Fragomeni', 'Qichen Fu', 'Abrham Gebreselasie', 'Cristina González', 'James Hillis', 'Xuhua Huang', 'Yifei Huang', 'Wenqi Jia', 'Weslie Khoo', 'Jachym Kolar', 'Satwik Kottur', 'Anurag Kumar', 'Federico Landini', 'Chao Li', 'Yanghao Li', 'Zhenqiang Li', 'Karttikeya Mangalam', 'Raghava Modhugu', 'Jonathan Munro', 'Tullie Murrell', 'Takumi Nishiyasu', 'Will Price', 'Paola Ruiz Puentes', 'Merey Ramazanova', 'Leda Sarı', 'Kiran Somasundaram', 'Audrey Southerland', 'Yusuke Sugano', 'Ruijie Tao', 'Minh Thanh Vo', 'Yuchen Wang', 'Xindi Wu', 'Takuma Yagi', 'Ziwei Zhao', 'Yunyi Zhu', 'Pablo Arbeláez', 'David Crandall', 'Dima Damen', 'Giovanni Maria Farinella', 'Christian Fuegen', 'Bernard Ghanem', 'Vamsi Krishna Ithapu', 'C. V. Jawahar', 'Hanbyul Joo', 'Kris Kitani', 'Haizhou Li', 'Richard Newcombe', 'Aude Oliva', 'Hyun Soo Park', 'James M. Rehg', 'Yoichi Sato', 'Jianbo Shi', 'Mike Zheng Shou', 'Antonio Torralba', 'Lorenzo Torresani', 'Mingfei Yan', 'Jitendra Malik']",https://doi.org/10.1109/cvpr52688.2022.01842,CVPR,OpenAlex,2022,True
"Climate anxiety, wellbeing and pro-environmental action: correlates of negative emotional responses to climate change in 32 countries","['Charles A. Ogunbode', 'Rouven Doran', 'Daniel Hanss', 'Maria Ojala', 'Katariina Salmela‐Aro', 'Karlijn L. van den Broek', 'Navjot Bhullar', 'Sibele D. Aquino', 'Tiago Azevedo Marot', 'Julie Aitken Schermer', 'Anna Włodarczyk', 'Su Lu', 'Feng Jiang', 'Daniela Acquadro Maran', 'Radha Yadav', 'Rahkman Ardi', 'Razieh Chegeni', 'Elahe Ghanbarian', 'Somayeh Zand', 'Reza Najafi', 'Joonha Park', 'Takashi Tsubakita', 'Chee‐Seng Tan', 'JohnBosco Chika Chukwuorji', 'Kehinde A. Ojewumi', 'Hajra Tahir', 'Mai Albzour', 'Marc Eric S. Reyes', 'Samuel Lins', 'Violeta Enea', 'Tatiana Volkodav', 'Tomáš Sollár', 'Ginés Navarro‐Carrillo', 'Jorge Torres‐Marín', 'Winfred Mbungu', 'Arin H. Ayanian', 'Jihane Ghorayeb', 'Charles Onyutha', 'Michael J. Lomas', 'Mai Helmy', 'Laura Martínez‐Buelvas', 'Aydın Bayad', 'Mehmet Karasu']",https://doi.org/10.1016/j.jenvp.2022.101887,Journal of Environmental Psychology,OpenAlex,2022,False
Consolidated Health Economic Evaluation Reporting Standards 2022 (CHEERS 2022) statement: updated reporting guidance for health economic evaluations,"['Don Husereau', 'Michael Drummond', 'Federico Augustovski', 'Esther W. de Bekker‐Grob', 'Andrew Briggs', 'Chris Carswell', 'Lisa Caulley', 'Nathorn Chaiyakunapruk', 'Dan Greenberg', 'Elizabeth Loder', 'Josephine Mauskopf', 'C. Daniel Mullins', 'Stavros Petrou', 'Raoh‐Fang Pwu', 'Sophie Staniszewska']",https://doi.org/10.1186/s12916-021-02204-0,BMC Medicine,OpenAlex,2022,False
The impact of the Russia-Ukraine conflict on the connectedness of financial markets,"['Zaghum Umar', 'Onur Polat', 'Sun‐Yong Choi', 'Тамара Теплова']",https://doi.org/10.1016/j.frl.2022.102976,Finance research letters,OpenAlex,2022,False
"Genetic architecture of 11 major psychiatric disorders at biobehavioral, functional genomic and molecular genetic levels of analysis","['Andrew D. Grotzinger', 'Travis T. Mallard', 'Wonuola A. Akingbuwa', 'Hill F. Ip', 'Mark J. Adams', 'Cathryn M. Lewis', 'Andrew M. McIntosh', 'Jakob Grove', 'Søren Dalsgaard', 'Klaus‐Peter Lesch', 'Nora I. Strom', 'Sandra Meier', 'Manuel Mattheisen', 'Anders D. Børglum', 'Ole Mors', 'Gerome Breen', 'iPSYCH', 'Manuel Mattheisen', 'Ole Mors', 'Sandra Meier', 'Phil H. Lee', 'Kenneth S. Kendler', 'Jordan W. Smoller', 'Elliot M. Tucker–Drob', 'Michel G. Nivard']",https://doi.org/10.1038/s41588-022-01057-4,Nature Genetics,OpenAlex,2022,False
